empty_count,longitude,latitude
67,50.450386085935094,30.524547100067142
23,50.45050063818424,30.52432932092009
50,50.45061519043338,30.524111541773035
15,50.450729742682526,30.52389376262598
16,50.45084429493167,30.523675983478928
19,50.450958847180814,30.523458204331874
17,50.45107339942996,30.52324042518482
26,50.450386085935094,30.524547100067142
22,50.45050063818424,30.52432932092009
12,50.45061519043338,30.524111541773035
66,50.450729742682526,30.52389376262598
42,50.45084429493167,30.523675983478928
95,50.450958847180814,30.523458204331874
23,50.45107339942996,30.52324042518482
24,50.4511879516791,30.523022646037766
12,50.45130250392825,30.522804866890713
13,50.45141705617739,30.52258708774366
14,50.45158184958234,30.52247389776916
15,50.451757508676074,30.522413170763514
354,50.45193316776981,30.522352443757867
46,50.452108826863544,30.52229171675222
43,50.45228448595728,30.522230989746575
22,50.45246014505101,30.52217026274093
26,50.45397769437711,30.51682186381075
32,50.45382029147502,30.516958564641296
36,50.45366288857293,30.51709526547184
298,50.45348323217105,30.517081686354636
89,50.45336278271238,30.51687189126274
108,50.45324233325371,30.51666209617084
28,50.45312188379504,30.516452301078942
29,50.45297828058652,30.516282205294928
37,50.452804445806855,30.516209678584172
43,50.45263061102719,30.516137151873416
44,50.45245677624752,30.51606462516266
47,50.45228294146786,30.515992098451903
48,50.45210910668819,30.515919571741147
49,50.451935271908525,30.51584704503039
53,50.45176143712886,30.515774518319635
60,50.4515876023492,30.51570199160888
61,50.45141376756954,30.515629464898125
62,50.451239932789875,30.51555693818737
63,50.45106609801021,30.515484411476614
64,50.450892263230546,30.515411884765857
65,50.45071842845088,30.515339358055102
66,50.45054459367122,30.515266831344347
67,50.45037075889156,30.515194304633592
68,50.450196924111895,30.515121777922836
69,50.45002308933223,30.51504925121208
70,50.44984925455257,30.514976724501325
